"dt","new_users","returning_users","new_orders","returning_orders","orders_per_new_user","orders_per_returning_user"
2020-01-29,2539,16214,6964,47842,2.7428121307601416,2.9506599235228816
2020-01-30,2457,16365,6924,48300,2.8180708180708183,2.9514207149404217
2020-01-31,2838,20767,7960,59540,2.8047921071176884,2.8670486830066935
2020-02-01,2690,20032,3832,28704,1.4245353159851302,1.4329073482428114
2020-02-02,2711,19732,3753,28555,1.384360014754703,1.44714169876343
2020-02-03,2469,17146,3537,25108,1.4325637910085054,1.4643648664411524
2020-02-04,2392,16541,3350,24302,1.4005016722408026,1.469197751042863
2020-02-05,2492,17083,3425,24851,1.374398073836276,1.4547210677281508
2020-02-06,2534,17317,3612,24921,1.425414364640884,1.4391060807299185
2020-02-07,2541,17085,3483,24943,1.370720188902007,1.4599356160374597
2020-02-08,2351,15149,3301,22078,1.404083368779243,1.4573899267278367
2020-02-09,2555,15437,3547,22480,1.3882583170254403,1.4562414977003304
2020-02-10,2548,16378,6204,40276,2.434850863422292,2.4591525216754184
2020-02-11,2865,17969,7668,52345,2.676439790575916,2.9130725137737215
2020-02-12,3988,29139,11148,90969,2.7953861584754263,3.1218984865643984
2020-02-13,3559,24679,9867,73349,2.772407979769598,2.9721220470845657
2020-02-14,3295,22698,8794,67254,2.6688922610015173,2.962992334126355
2020-02-15,2965,21336,8137,64228,2.7443507588532885,3.0103112110986125
2020-02-16,3365,26261,9576,78010,2.8457652303120358,2.970564715738167
2020-02-17,2935,18794,8089,55171,2.756047700170358,2.9355645418750664
2020-02-18,2965,18339,4558,31819,1.5372681281618887,1.7350455313812094
2020-02-19,2940,18370,4108,27330,1.3972789115646258,1.4877517691888948
2020-02-20,2715,18679,3793,27465,1.3970534069981584,1.4703677927083891
2020-02-21,2576,17345,3707,25617,1.4390527950310559,1.4769097722686653
2020-02-22,2608,17322,3654,25292,1.4010736196319018,1.4601085325020207
2020-02-23,2465,17696,3409,25608,1.3829614604462475,1.447106690777577
2020-02-24,2628,16671,3626,24258,1.3797564687975648,1.4551016735648732
2020-02-25,2609,16687,3620,24443,1.387504791107704,1.4647929525978307
2020-02-26,2644,16607,3727,24082,1.409606656580938,1.4501113988077317
2020-02-28,2788,16154,3929,23561,1.4092539454806312,1.4585242045313853
2020-02-29,2551,15466,3546,22770,1.3900431203449628,1.4722617354196301
2020-03-01,2846,18310,3948,27410,1.387210119465917,1.4969961769524849
2020-03-02,3864,31744,5678,49409,1.4694616977225672,1.5564831149193548
2020-03-03,3630,27806,4957,41399,1.365564738292011,1.4888513270517154
2020-03-04,3609,27305,5039,40189,1.3962316431144361,1.47185497161692
2020-03-05,3623,26865,5104,39302,1.4087772564173338,1.4629443513865625
2020-03-06,3394,26588,4754,38767,1.4007071302298173,1.4580637881751166
2020-03-07,3479,27737,4771,40730,1.3713710836447255,1.4684356635540974
2020-03-08,3046,24598,4213,36068,1.3831254103742614,1.4662980730140662
2020-03-09,3277,25105,4623,36468,1.4107415318889227,1.4526190001991635
2020-03-10,3472,25175,4941,36740,1.4230990783410138,1.4593843098311818
2020-03-11,3271,23957,4474,34792,1.3677774380923264,1.4522686479943232
2020-03-12,2990,22401,4163,32105,1.3923076923076922,1.4331949466541671
2020-03-13,2700,21409,3696,31058,1.3688888888888888,1.450698304451399
2020-03-14,2684,21809,3739,31602,1.3930700447093889,1.449034802145903
2020-03-15,2580,22247,3663,32280,1.419767441860465,1.4509821548972894
2020-03-16,2430,17176,3385,25467,1.3930041152263375,1.4827084303679552
2020-03-17,2366,16901,3156,24654,1.3338968723584108,1.4587302526477723
2020-03-18,2123,15394,2882,22304,1.3575129533678756,1.4488761855268286
2020-03-19,2246,15691,2998,22503,1.3348174532502226,1.4341342170671085
2020-03-20,2277,15636,3133,23099,1.375933245498463,1.4772959836275261
2020-03-21,2254,15368,3106,22669,1.3779946761313222,1.4750780843310776
2020-03-22,2108,14258,2875,20823,1.363851992409867,1.460443259924253
2020-03-23,2178,15416,2965,22349,1.3613406795224976,1.4497275557861962
2020-03-24,2217,15767,3048,22912,1.374830852503383,1.4531616667723726
2020-03-25,2335,15830,3248,23011,1.3910064239828694,1.453632343651295
2020-03-26,2416,16331,3373,24114,1.3961092715231789,1.4765782866940176
2020-03-27,2460,16319,3410,23556,1.386178861788618,1.4434708009069184
2020-03-28,2316,15465,3228,22589,1.3937823834196892,1.4606530876172001
2020-03-29,2013,12908,2721,18573,1.3517138599105811,1.4388751162070035
2020-03-30,2219,13614,2976,19728,1.3411446597566472,1.4490965182899955
2020-03-31,2412,14400,3281,20716,1.3602819237147596,1.438611111111111
2020-04-01,2833,16399,3866,23384,1.3646311330744794,1.4259406061345203
2020-04-02,3391,17514,4584,25055,1.3518136242996166,1.4305698298504055
2020-04-03,3464,17054,4751,24149,1.3715357967667436,1.416031429576639
2020-04-04,3034,15133,4025,21424,1.3266315095583388,1.4157140025110686
2020-04-05,2822,14290,3804,20041,1.3479801559177889,1.402449265220434
2020-04-06,2938,15135,3960,21090,1.34785568413887,1.3934588701684836
2020-04-07,2858,14499,3833,20212,1.341147655703289,1.394027174287882
2020-04-08,3227,15221,4386,21158,1.3591571118686085,1.3900532159516457
2020-04-09,3535,15861,4720,21690,1.3352192362093351,1.3675052014374882
2020-04-10,4261,17591,5723,24333,1.3431119455526872,1.3832641691774203
2020-04-11,4139,17855,5587,25592,1.3498429572360473,1.4333239988798656
2020-04-12,3893,17258,5235,24517,1.3447212946313896,1.420616525669255
2020-04-13,4412,19307,6107,27644,1.3841795104261105,1.4318122960584243
2020-04-14,4391,19378,6049,28056,1.3775905260760646,1.4478274331716379
2020-04-15,5204,23741,7118,34455,1.367794004611837,1.4512868034202435
2020-04-16,5058,25471,6922,36641,1.3685251087386319,1.4385379451140512
2020-04-17,5034,26073,6941,36480,1.378823996821613,1.399148544471292
2020-04-18,4229,24025,5777,34023,1.3660439820288484,1.416149843912591
2020-04-19,3511,21089,4790,29299,1.364283679863287,1.3893024799658589
2020-04-22,4181,24937,5747,34871,1.3745515426931356,1.3983638769699642
2020-04-23,4243,25467,5714,35785,1.3466886636813575,1.4051517650292535
2020-04-24,4244,25454,5834,35745,1.3746465598491988,1.4042979492417695
2020-04-25,4237,24849,5811,35134,1.3714892612697664,1.413899955732625
2020-04-26,3979,24157,5548,34322,1.3943201809499874,1.4207890052572754
2020-04-27,4003,25593,5600,36103,1.3989507869098177,1.4106591646153246
2020-04-28,3582,25074,4943,35726,1.3799553322166387,1.424822525325038
2020-04-29,3641,25357,5000,35671,1.3732491073880801,1.4067515873328864
2020-04-30,3487,25342,4731,37002,1.356753656438199,1.4601057532949253
