"first_touch_date","users_d0","retention_d1","retention_d7","retention_d30"
2020-03-14,37172,0.08592488970192617,0.02956526417733778,0.019907457225868935
2020-03-15,37153,0.07759804053508465,0.02745404139638791,0.0189755874357387
2020-03-16,38328,0.07955019828845752,0.027916927572531832,0.02220308912544354
2020-03-17,34777,0.07312304109037582,0.028035770768036344,0.023895103085372515
2020-03-18,29007,0.08525528320750164,0.030337504740235114,0.023304719550453337
2020-03-19,35621,0.08334970944106004,0.031189466887510175,0.020072429185031302
2020-03-20,53838,0.05315947843530592,0.019391507856904047,0.013410602176901074
2020-03-21,37089,0.07810941249427054,0.029712313623985548,0.02216290544366254
2020-03-22,34908,0.08304686604789734,0.02781597341583591,0.022057980978572245
2020-03-23,37654,0.08062888404950337,0.024618898390609233,0.021803792425771497
2020-03-24,37633,0.08184306326893949,0.025642388329391756,0.021470517896526983
2020-03-25,38009,0.07932331816148806,0.0291773001131311,0.022757767897077008
2020-03-26,38748,0.08119128729224734,0.02882729431196449,0.022556002890471768
2020-03-27,38249,0.07903474600643154,0.02873277732751183,0.02248424795419488
2020-03-28,35915,0.08052345816511207,0.027592927746067104,0.02299874704162606
2020-03-29,33824,0.07550851466414381,0.02915089877010407,0.02252838221381268
2020-03-30,36911,0.07734821597897645,0.02787786838611796,0.0218363089593888
2020-03-31,36956,0.08144820868059313,0.028033336941227404,0.02208031172204784
2020-04-01,42121,0.08520690391966003,0.03183685097694736,
2020-04-02,49597,0.08159767727886767,0.0310905901566627,
2020-04-03,49140,0.07912087912087912,0.03477818477818478,
2020-04-04,49725,0.07479135243841126,0.03370537958773253,
2020-04-05,45420,0.08051519154557464,0.03597534125935711,
2020-04-06,50209,0.08114083132506124,0.03893724232707284,
2020-04-07,52306,0.08488509922379842,0.03393492142392842,
2020-04-08,58952,0.08491654227167865,0.03621590446464921,
2020-04-09,59695,0.09109640673423235,0.04293491917246001,
2020-04-10,67523,0.08875494276024466,0.04207455237474638,
2020-04-11,69239,0.09100362512456853,0.038489868426753705,
2020-04-12,72823,0.09063070733147495,0.03279183774357003,
2020-04-13,83379,0.08895525252161815,0.036256131639861355,
2020-04-14,71386,0.10308744011430812,0.04083433726500994,
2020-04-15,85644,0.0980453972257251,0.041380598757647935,
2020-04-16,89878,0.09278132579719175,0.04154520572331383,
2020-04-17,86126,0.08675661240508092,0.04048719318208206,
2020-04-18,78349,0.08398320335932813,0.039809059464702805,
2020-04-19,68261,0.08410366094841858,0.037429864783697864,
2020-04-22,76718,0.0913736020229933,0.03770953361662192,
2020-04-23,79725,0.09216682345562872,0.03581059893383506,
2020-04-24,86660,0.08459496884375721,,
2020-04-25,84038,0.08735334015564387,,
2020-04-26,90511,0.08489575852658793,,
2020-04-27,84068,0.08376552314792787,,
2020-04-28,77191,0.08854659221930018,,
2020-04-29,74030,0.08587059300283668,,
2020-04-30,69148,,,
